Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
9ct-gold-cubic-zirconia-ring-1072,9ct Gold Cubic Zirconia Ring 1072,Title,Default Title,,,,,1072,,AU,Once-Loved Treasures,0,0,0,1,1
10ct-gold-sapphire-and-diamond-ring-1073,10ct Gold Sapphire and Diamond Ring 1073,Title,Default Title,,,,,1073,,AU,Once-Loved Treasures,0,0,0,-1,-1
9ct-gold-synthetic-ruby-and-diamond-ring-1074,9ct Gold Synthetic Ruby and Diamond Ring 1074,Title,Default Title,,,,,1074,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-rose-gold-diamond-ring-1075,9ct Rose Gold Diamond Ring 1075,Title,Default Title,,,,,1075,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-gold-twisted-earrings,9ct Gold Twisted Earrings 1076,Title,Default Title,,,,,1076,,AU,Once-Loved Treasures,0,0,0,-1,-1
1077,9ct Gold Diamond Pendant 1077,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
solid-14ct-gold-curb-bracelet-1078,Solid 14ct Gold Curb Bracelet 1078,Title,Default Title,,,,,1078,,AU,Once-Loved Treasures,0,0,0,1,1
1079,Solid 9ct Gold 3-1 Figero Chain 1079,Title,Default Title,,,,,"",,,Once-Loved Treasures,0,0,0,-1,-1
9ct-solid-gold-italian-made-diamond-cut-curb-chain,9ct Solid Gold Italian made diamond cut curb Chain,Title,Default Title,,,,,1080-143,,AU,Once-Loved Treasures,0,0,0,1,1
9ct-yellow-gold-necklace-diamond-cut-curb-chain-1082,9ct Yellow Gold Necklace Diamond cut curb Chain 1082,Title,Default Title,,,,,1082,,AU,Once-Loved Treasures,0,0,0,1,1
1083,9ct Yellow Gold Necklace Belcher Chain with Plain Polished round links 1083,Title,Default Title,,,,,"",,AU,Once-Loved Treasures,0,0,0,0,0
